0	1456025511,11584,1
1	1399709325,51374,1
3	1486537717,3242,1
4	1477368034,48212,1
5	1482323500,32872,1 1482498226,7329,1
6	1424577343,10759,1
7	1448368199,36922,1
9	1493048081,16658,1 1493049809,53233,1 1493454112,53233,1
12	1405758760,35053,1 1464798264,22033,1 1473235290,41135,1
13	1460434178,9282,1
14	1447489122,30549,1
16	1434665943,21739,1 1435551604,21739,1 1435568340,21739,1 1436338425,21739,1 1436559694,21739,1 1437414909,21739,1 1437650166,21739,1 1438120475,21739,1 1439268857,21739,1 1439408753,21739,1 1439955323,21739,1 1440569830,21739,1 1440724133,21739,1 1441972802,21739,1 1442574950,21739,1 1443506557,21739,1 1444618812,21739,1 1445310736,21739,1 1446607917,21739,1 1446976186,21739,1 1447482999,21739,1 1448596711,199,1 1448930264,199,1 1448930264,12130,1
17	1441945665,31609,1 1446843847,31609,1 1473457942,31614,1
21	1407162622,3699,1 1491865794,52452,1 1492042256,52452,1 1492430671,52452,1 1492577618,52452,1 1492644442,52452,1 1493035469,52452,1 1493161973,52452,1 1493362331,52452,1
22	1480047623,15712,1 1480955605,34976,1
23	1395920117,20194,1 1397208240,20194,1 1418643374,7537,1 1442008269,20169,1 1445522128,20194,1 1482184983,20194,1
24	1474132188,37146,1
26	1455556275,14564,1 1456207815,14564,1 1457548482,14564,1
27	1452880242,23132,1 1453793883,15826,1 1455030342,9476,1 1455256548,24626,1 1456406473,30334,1
28	1490679302,39937,1
29	1397378994,20194,1 1462527631,20169,1
31	1435028146,15573,1 1435299197,50468,1 1435310672,3242,1 1435310672,35053,1
33	1406867508,9937,1
34	1447332506,35053,1
36	1475703818,20526,1 1476156776,37,1 1476239713,27050,1 1476754379,53261,1 1480816811,19031,1 1481210604,19031,1 1481884027,37,1 1484930981,41833,1 1487559945,18212,1 1491018236,27050,1 1491605013,37,1 1492218189,32310,1
37	1427991203,27050,1 1429438655,27050,1 1453758430,29380,1 1462873328,50978,1 1463703964,27050,1 1489280983,51187,1 1490063002,61,1 1493007551,50929,1
38	1440074134,24886,1 1483662186,27050,1 1486672102,24867,1 1487671152,27050,1
39	1442767008,16427,1
40	1448087668,5104,1
41	1432550653,18103,1
42	1461828211,46806,1
44	1439097454,27912,1
49	1480562171,21307,1
50	1440209674,48885,1 1472476034,8264,1 1477195784,8264,1 1478391163,8264,1
51	1416438754,13397,1
52	1439529834,12471,1
53	1441901707,39937,1 1443260753,39937,1 1443260815,7531,1 1443681830,39937,1 1443849797,39937,1 1444460077,39937,1 1445157378,39937,1 1445263157,7321,1 1447035374,39937,1 1447730672,39937,1 1449427592,39937,1 1449427701,39937,1 1450030527,39937,1 1452307169,39937,1 1453750159,39937,1 1457485887,39937,1 1458870198,39937,1 1459037636,39937,1 1460522154,39937,1 1461007253,39937,1 1461779307,39937,1 1468138468,39937,1 1468138468,48672,1
54	1491435063,31374,1 1492384533,10820,1 1492609433,53112,1
55	1493001760,28549,1
56	1474166352,7071,1
57	1402309985,26275,1 1444918806,22033,1 1458538490,39770,1
58	1465641443,9164,1
61	1480655769,27050,1 1486343424,28328,1
64	1451382688,53300,1 1452154621,24632,1 1453180314,24632,1
65	1451547102,48093,1 1463940134,48093,1 1466903805,43952,1
66	1488425622,14455,1
67	1476421924,25822,1
68	1465359802,3437,1 1465359802,49927,1
69	1458681300,39874,1 1458683637,39874,1 1459687148,39874,1 1460623093,32484,1 1460623093,39874,1
71	1398725199,35053,1
72	1396095635,31651,1 1396118183,24480,1 1403605630,13397,1 1403655784,42161,1 1403909645,44787,1
73	1467478964,6210,1
74	1395239627,20194,1 1402286712,20194,1 1408441642,20194,1 1446382047,75,1 1447353323,75,1 1456908711,241,1 1457695238,75,1 1461235089,20194,1 1463365053,40909,1 1465555608,75,1
75	1458053904,20191,1
77	1483853970,18310,1
78	1399316600,33177,1 1402313366,47551,1 1405739828,51769,1 1408185597,3834,1 1412730434,32272,1 1413846200,7431,1 1420856516,12933,1 1424457061,35053,1 1433423854,21220,1 1437668942,11542,1 1443514885,2918,1
79	1390039911,30532,1 1390697844,3437,1 1393939345,17226,1 1399279188,14826,1 1402491180,31864,1 1406746547,29150,1 1407695563,42161,1 1412483419,46366,1 1415880625,29357,1 1415882286,23438,1 1416067754,3242,1 1416312975,48115,1 1419321838,32995,1 1420958257,7924,1 1425234653,17998,1 1425567987,51158,1 1425692250,3242,1 1427160792,16540,1 1431296468,28354,1 1442418158,39194,1 1443577903,3242,1 1446152112,34348,1 1449477406,28001,1 1451134768,2200,1 1453778080,42717,1 1453788737,33033,1 1456638725,24248,1 1457946074,16709,1 1457948287,3242,1 1457958220,40625,1 1467023812,49149,1 1469620566,41976,1 1470109253,3242,1 1470818358,40102,1 1472625814,11942,1 1479750861,27395,1 1479783075,3242,1 1488999186,16730,1 1489535622,29438,1 1492718635,16610,1 1493061937,39194,1
80	1398144490,33177,1 1398395561,33177,1 1399719154,33177,1 1402481968,7835,1 1404811863,46015,1 1406068220,29215,1 1406985491,50627,1 1408357057,20604,1 1411572133,33177,1 1414403585,35053,1 1417804344,21220,1 1420856696,47562,1
81	1396990442,51769,1 1403357858,29438,1 1405312505,35053,1 1408461235,9328,1 1410676148,33178,1 1442956655,21220,1 1469461531,13076,1
82	1408497787,22786,1 1447152206,48212,1
83	1437006777,8340,1 1437686888,10236,1 1438152356,22033,1 1439336979,52689,1 1439426729,10236,1 1443351123,15281,1 1446617165,52609,1 1446774970,36624,1 1447287459,22033,1 1449331060,36091,1 1450696943,37741,1 1450842075,43955,1 1453731675,15280,1 1453953249,2289,1 1460506620,35998,1 1464869391,36343,1 1466657474,41490,1 1467079911,36624,1 1469842924,36343,1 1472460078,48407,1 1484349046,52609,1 1485460148,10236,1 1490239159,22658,1 1492355229,10236,1 1492403264,38486,1 1492678766,53217,1 1492841997,48858,1
85	1429407038,13388,1 1431472834,39060,1 1442652440,13390,1 1469599827,51261,1
